table_type,table_name
BASE TABLE,Accounts
BASE TABLE,ActionsDTScardLines
BASE TABLE,ActionsDTScardLinesOld
BASE TABLE,ActionsDTScardLinesOld1
BASE TABLE,ActionsMultipassCardLines
BASE TABLE,ActionsPrepaidCards
BASE TABLE,AdditionalPriceLists
BASE TABLE,AdditionalPriceLists1
BASE TABLE,Amounts
BASE TABLE,AsortimntimTable
BASE TABLE,BankAccounts
BASE TABLE,Banks
BASE TABLE,BarcodeInputTmp
BASE TABLE,BarcodePrintingSettings
BASE TABLE,BarcodePrints
BASE TABLE,Barcode_Graphic_Labels
BASE TABLE,Barcode_Label_Templates
BASE TABLE,BdikotIniim_LpniAsbaL1_6
BASE TABLE,Bkra_Optika
BASE TABLE,BlobTable
BASE TABLE,BrandChecks
BASE TABLE,Brands
BASE TABLE,BusinessInvoice
BASE TABLE,CARD_PICTURES
BASE TABLE,CC_DocsContinue
BASE TABLE,Calendar
BASE TABLE,CampaignBundle
BASE TABLE,CampaignFields
BASE TABLE,CampaignTypes
BASE TABLE,CampaignTypes1
BASE TABLE,CampaignVouchers
BASE TABLE,CampaignVouchers900
BASE TABLE,Campaigns
BASE TABLE,Campaigns_tmp
BASE TABLE,CanvasTypes
BASE TABLE,CardClassPaymentTerm
BASE TABLE,CardComments
BASE TABLE,CardGuarantees
BASE TABLE,CardInterfaces
BASE TABLE,Cards
BASE TABLE,Cards1
BASE TABLE,CardsAdditionalClass
BASE TABLE,CardsGroup
BASE TABLE,CardsRentalsContinue
BASE TABLE,Cards_continue
BASE TABLE,CartOrderLines
BASE TABLE,CatalogChanges
BASE TABLE,CategoriesTbl
BASE TABLE,CellPAYcardsType
BASE TABLE,CellPayActions
BASE TABLE,CellPayErrors
BASE TABLE,CerditCardByWebLog
BASE TABLE,ChangeHistory_tmp
BASE TABLE,ChargeCardsAssignment
BASE TABLE,Cities
BASE TABLE,ClientMessageStatus
BASE TABLE,ClientStatus_tmp
BASE TABLE,ClubCardsTypes
BASE TABLE,CoinsRates
BASE TABLE,Coins_notes_details
BASE TABLE,Coins_notes_details1
BASE TABLE,Collections
BASE TABLE,ColorMatrix
BASE TABLE,Colors
BASE TABLE,CombinedStoreInventory
BASE TABLE,CommandMovementType
BASE TABLE,CommunicationControl
BASE TABLE,Control
BASE TABLE,ConversionItems
BASE TABLE,ConversionsTbl
BASE TABLE,ConvertToTenderTypes
BASE TABLE,ConvertingReceiptLinesContinue
BASE TABLE,ConvertingTransitionalWarehouses
BASE TABLE,CopiedCredits_HO
BASE TABLE,CopiesLog
BASE TABLE,CopyOfDocs24
BASE TABLE,CopyOfDocsLines25
BASE TABLE,CopyOfDocsLinesTrailer116
BASE TABLE,CopyOfDocsTrailer115
BASE TABLE,Costing
BASE TABLE,Countries
BASE TABLE,CreditCardsTypes
BASE TABLE,CreditInvoiceEOSeasonLines
BASE TABLE,CreditInvoicePrintRecover
BASE TABLE,CreditInvoiceTable
BASE TABLE,CreditSalesReport
BASE TABLE,CreditSalesReport1
BASE TABLE,CreditTypes
BASE TABLE,CtlDif1
BASE TABLE,CtlDif2
BASE TABLE,CtlDif3
BASE TABLE,CustomerClassByCreditCard
BASE TABLE,CustomerClubDeails
BASE TABLE,CustomerMessagedCode
BASE TABLE,CustomerOrderLines
BASE TABLE,CustomerOrderLines_345
BASE TABLE,CustomerOrdersHeaders
BASE TABLE,CustomerSubscriptionAssignment
BASE TABLE,CustomersLog
BASE TABLE,CustomersMovement
BASE TABLE,DTSTransactions
BASE TABLE,DailyAvailabilty
BASE TABLE,DailyPOSsum
BASE TABLE,DailySales
BASE TABLE,DaysTypes
BASE TABLE,DebitErrors
BASE TABLE,DebitSettings
BASE TABLE,DebitTbl
BASE TABLE,DefectType
BASE TABLE,DefinitionsKeyValue
BASE TABLE,Deliveries
BASE TABLE,DepositLines
BASE TABLE,Deposits
BASE TABLE,DepositsDrawerToSafe
BASE TABLE,Deposits_V852
BASE TABLE,DesignFiles
BASE TABLE,DifferenceOrderStatement
BASE TABLE,DiscountNotesDefinitions
BASE TABLE,DiscountScales
BASE TABLE,DocumentHeaderDeliveryOrder
BASE TABLE,DocumentLines
BASE TABLE,DocumentLinesForCopy
BASE TABLE,DocumentLinesPOSSuspendedTransmissions
BASE TABLE,DocumentRemarksHeader
BASE TABLE,DocumentRemarksLines
BASE TABLE,DocumentTypeForIRS
BASE TABLE,DocumentVersionMngmt
BASE TABLE,Documents
BASE TABLE,Documents2_continue
BASE TABLE,DocumentsControl
BASE TABLE,DocumentsLines_continue
BASE TABLE,DocumentsLines_continue1
BASE TABLE,DocumentsLines_pointOfSale
BASE TABLE,DocumentsSequence
BASE TABLE,DocumentsType
BASE TABLE,Documents_continue
BASE TABLE,DownloadManagerPacks
BASE TABLE,Dpok
BASE TABLE,DtsActions
BASE TABLE,DtsActions1
BASE TABLE,DtsActionsLog
BASE TABLE,DtsTbls
BASE TABLE,DtsTrans_tmp
BASE TABLE,ERN_LeumiMoveTransmission
BASE TABLE,ERN_LeumiMoveTransmission1
BASE TABLE,ERN_LeumiMoveTransmission_conver
BASE TABLE,ElectronicSignatures
BASE TABLE,EmailOrderLines
BASE TABLE,EmailUsersSettings
BASE TABLE,Email_OrderTitleNew
BASE TABLE,Emergency_Number_Invoices
BASE TABLE,EmpCommissions
BASE TABLE,EmpCommissions1
BASE TABLE,EmpPermission
BASE TABLE,EmpStorePremiums
BASE TABLE,EmployeesAttendance
BASE TABLE,EmployeesMoreDetails
BASE TABLE,EmployeesSelection_byEntrance
BASE TABLE,EmployeesType
BASE TABLE,Employees_Permission_Groups
BASE TABLE,EmvCharge
BASE TABLE,EmvStatis
BASE TABLE,ErnChecksTbl
BASE TABLE,ErrorMessageExternalTerminal
BASE TABLE,Error_ASH96
BASE TABLE,ErrorsLog
BASE TABLE,EventsLog
BASE TABLE,EventsType
BASE TABLE,ExemptionAndStorageFile
BASE TABLE,ExpectedFixes
BASE TABLE,Expenses
BASE TABLE,ExternalTerminalSettings
BASE TABLE,EyesTesting_optic
BASE TABLE,EyesTesting_opticOld
BASE TABLE,Fact_Attendance_Event
BASE TABLE,Fact_Sales
BASE TABLE,Fact_Shifts
BASE TABLE,FieldDoc
BASE TABLE,FinancialMovementStatus
BASE TABLE,FingerPrintsCache
BASE TABLE,FingerprintsFile
BASE TABLE,FingerprintsFile_old
BASE TABLE,FirstHoOnlineTransactionsTransmission
BASE TABLE,FiscalMovement
BASE TABLE,FiscalMovementType
BASE TABLE,FiveLevelDbFile_tmp
BASE TABLE,FlightApproval
BASE TABLE,Flights
BASE TABLE,Flow
BASE TABLE,FocalLengths
BASE TABLE,FocalLengths1
BASE TABLE,FormHistoryStatus
BASE TABLE,FormHistoryStatus1
BASE TABLE,GAZITi
BASE TABLE,GazitIActivityLog
BASE TABLE,GazitITransactionWaitingForTransmission
BASE TABLE,GazitITypeOfCardList
BASE TABLE,GazitiFuture
BASE TABLE,GeneralCarrierFile
BASE TABLE,GeneralMenus
BASE TABLE,GraphicDocumentsLogoSettings
BASE TABLE,GroupsDesc
BASE TABLE,GroupsSettings
BASE TABLE,HistoricModification
BASE TABLE,Holidays
BASE TABLE,HolidaysTypes
BASE TABLE,HoursAmountsSlicing
BASE TABLE,HoursReport_tmp
BASE TABLE,INTERFACES_HEADER_LOGS
BASE TABLE,INTERFACES_LINES_LOGS
BASE TABLE,IconsErrors
BASE TABLE,ImagesBundle
BASE TABLE,InterfaceLog
BASE TABLE,Interfaces
BASE TABLE,InternalPhone
BASE TABLE,Inventory
BASE TABLE,InventoryByChainStores
BASE TABLE,InventoryQuery_tmp
BASE TABLE,InvoicePrintRecover
BASE TABLE,InvoicesDeliveryDetails
BASE TABLE,InvoicesDeliveryDetails1
BASE TABLE,IssuesPrint
BASE TABLE,ItemDiscountTracking
BASE TABLE,ItemDiscountTracking_Temp
BASE TABLE,ItemTypeCategory
BASE TABLE,ItemTypes
BASE TABLE,ItemTypesComments
BASE TABLE,ItemUnitSizes
BASE TABLE,Items
BASE TABLE,ItemsAdditionalClass
BASE TABLE,ItemsAndModelsImages
BASE TABLE,ItemsBundle_package
BASE TABLE,ItemsCatalogDetection
BASE TABLE,ItemsInterfaces
BASE TABLE,ItemsNoInventoryAvailableLog
BASE TABLE,ItemsRentAccount
BASE TABLE,Items_tmp
BASE TABLE,JobOrderLines
BASE TABLE,JobOrderTitle
BASE TABLE,JournalVaucherControl
BASE TABLE,JournalVaucherHashavshevet
BASE TABLE,JournalVoucherControlContinue
BASE TABLE,KitsMovementTable
BASE TABLE,Laundry
BASE TABLE,LendingCopies
BASE TABLE,LimitedChecksFile
BASE TABLE,LinkCustomerToPayment
BASE TABLE,LocationsWorkOrders
BASE TABLE,Locks
BASE TABLE,LogRequestsForManagerApproval
BASE TABLE,LoopJobs
BASE TABLE,LotNumbersPerItemID
BASE TABLE,MasterSlaveSyncInfo
BASE TABLE,MatrixReception_tmp
BASE TABLE,MatrixReportsProcessingFile
BASE TABLE,MeansOfPaymentGroup
